(0.0, 0.04, 0.07500000000000001) 0.04119402247441919 0.0003461162620661273 0.5536875837774639
(0.0, 0.04, 0.1) 0.023654014769047643 0.00035339571872995896 0.511443660773846
(0.0, 0.04, 0.125) 0.011843748672630813 8.919240563519896e-05 0.718626701727607
(0.0, 0.04, 0.15000000000000002) 0.00966865185509426 0.0001972056975897582 0.8427564185827907
(0.0, 0.04, 0.17500000000000002) 0.011834060063245918 0.00014791744475460555 1.0641729484669094
(0.0, 0.04, 0.2) 0.011991013579058695 5.866670918668661e-05 1.3961098502924787
(0.0, 0.04, 0.225) 0.022144904310168086 0.0002331419218258709 1.7263519348649936
(0.0, 0.04, 0.25) 0.03203105902711773 0.00037680341807129806 1.7861831016530791
(0.0, 0.06, 0.0) 0.01937199609325001 0.00019731491267285507 0.7517364170527387
(0.0, 0.06, 0.025) 0.01943372976005307 0.0007624991712751549 0.577373140050132
(0.0, 0.06, 0.05) 0.013674854630611653 0.0003993046315232646 0.719370235419694
(0.0, 0.06, 0.07500000000000001) 0.01614254892954426 0.00033735884490461286 0.7630216276612781
(0.0, 0.06, 0.1) 0.015918743531086042 0.00028174228749284585 0.624863402715566
(0.0, 0.06, 0.125) 0.013299902072290681 0.0001918260060442714 0.8009860778436184
(0.0, 0.06, 0.15000000000000002) 0.005426973144560504 9.931029575256053e-05 1.2765119744182838
(0.0, 0.06, 0.17500000000000002) 0.01078937307661532 0.00010044842684957877 1.352721039978178
(0.0, 0.06, 0.2) 0.01585024301889091 0.00020647344887017428 1.4359379701972528
(0.0, 0.06, 0.225) 0.0201839485929791 0.00021686769145280897 1.7106313599198353
(0.0, 0.06, 0.25) 0.0223792773721322 0.00024539217557527343 1.7455432984158918
(0.0, 0.08, 0.0) 0.023131384490926783 0.0006172494070513118 0.6029513602673188
(0.0, 0.08, 0.025) 0.04437893978677841 0.0001998404145904189 0.503350570340392
(0.0, 0.08, 0.05) 0.020499304720796977 0.0005645046490043791 0.6404082025656274
(0.0, 0.08, 0.07500000000000001) 0.009787740258952543 0.00020989761538299005 0.9755021642128074
(0.0, 0.08, 0.1) 0.011145091537418555 0.00021646532458376456 1.0011827615375033
(0.0, 0.08, 0.125) 0.009485630181480815 0.0002330596248809817 1.1817774414867668
(0.0, 0.08, 0.15000000000000002) 0.00970322332648844 7.586655767542293e-05 1.2983228698841085
(0.0, 0.08, 0.17500000000000002) 0.011500993328167092 0.00024344324112066177 1.5887110818228514
(0.0, 0.08, 0.2) 0.013921074386274273 0.0001498130137149913 1.6108729597988083
(0.0, 0.08, 0.225) 0.027664539719959327 0.0004123723549466146 1.763031967361242
(0.0, 0.08, 0.25) 0.04100696708263316 0.00018467029426104978 1.9281150830174407
(0.0, 0.1, 0.0) 0.008828755817614118 0.00015019358600328525 0.94908532919548
(0.0, 0.1, 0.025) 0.018923763621168814 0.00030431708778882414 0.9556305288883821
(0.0, 0.1, 0.05) 0.016459527420273658 0.0004056226063035145 0.9499633146733515
(0.0, 0.1, 0.07500000000000001) 0.019426483295892708 8.43067008924642e-05 1.074257535671912
(0.0, 0.1, 0.1) 0.011784705583943102 0.00016885132776004025 1.117609275844487
(0.0, 0.1, 0.125) 0.01172985811642943 0.0003091041330429023 1.3338057339041423
(0.0, 0.1, 0.15000000000000002) 0.015370453712895148 0.0004295590735978192 1.5550625656507995
(0.0, 0.1, 0.17500000000000002) 0.017983010641851753 0.00028157150839462365 1.39427554423355
(0.0, 0.1, 0.2) 0.017772579846673468 0.00033386822026436086 1.6690459617376434
(0.0, 0.1, 0.225) 0.02366157984266414 0.0003305250742425754 1.9060734507624983
(0.0, 0.1, 0.25) 0.03239448137860554 0.00043331416290997687 1.9868848809733246
(0.0, 0.12, 0.0) 0.02013965067074787 0.00036688463129945915 1.055091938555167
(0.0, 0.12, 0.025) 0.014268421186740494 0.0002634682732431897 1.3300953634962083
(0.0, 0.12, 0.05) 0.02902119863978139 0.00027625401401878134 1.2948099796743646
(0.0, 0.12, 0.07500000000000001) 0.012487497345117834 4.826676009685854e-05 1.204500365723213
(0.0, 0.12, 0.1) 0.01144713761780997 0.00029394816036339627 1.2869019744323102
(0.0, 0.12, 0.125) 0.014912649872918963 0.0005563293196664473 1.4749291796637856
(0.0, 0.12, 0.15000000000000002) 0.017486578407100047 0.0001946495091150824 1.5760457132158086
(0.0, 0.12, 0.17500000000000002) 0.019752015436825532 0.00013843433342070294 1.701104079141229
(0.0, 0.12, 0.2) 0.028423392913156032 0.00033427717035313005 1.8413144187063146
(0.0, 0.12, 0.225) 0.02191846094383054 0.00038144386605270213 1.852622848388502
(0.0, 0.12, 0.25) 0.036202288219644004 0.00023954298323878055 2.035296431614018
(0.0, 0.14, 0.0) 0.01002296679808765 0.00023774697855160406 1.3699240215397994
(0.0, 0.14, 0.025) 0.014990598155788997 0.000649377749563788 1.47424236883597
(0.0, 0.14, 0.05) 0.01491934399522284 0.00032302390504403757 1.514423735356055
(0.0, 0.14, 0.07500000000000001) 0.018202775157785744 0.0005023557680194855 1.8720288583298095
(0.0, 0.14, 0.1) 0.011633633394687686 0.00022303211930342002 1.8398683104620077
(0.0, 0.14, 0.125) 0.01978735101005244 0.00021369383358143344 1.6742011574256819
(0.0, 0.14, 0.15000000000000002) 0.02060670780945984 0.00018114646014170737 1.7907890260193182
(0.0, 0.14, 0.17500000000000002) 0.027577755840983147 0.00026503745482863675 1.8484371139443314
(0.0, 0.14, 0.2) 0.01578337787188794 0.0007939992282858543 2.120588018689799
(0.0, 0.14, 0.225) 0.030910147384931464 0.0004848183555908217 2.1185292952884067
(0.0, 0.14, 0.25) 0.03581903847887221 0.00030777996103905004 2.286304317676962
(0.0, 0.16, 0.0) 0.015393960386969576 0.0003494549667344338 1.5410378677141627
